id;ville;csp;nbre_enfant;Date;Prix_Multi;Prix_Alim;Nbre_Pro_Multi;Nre-Prd_Ali
857;Paris;Agriculteur, Exploitant agricole;2;23/83/2823;8;185;8;8
881;Paris Austerlitz;Agriculteur, Exploitant agricole;2;84/82/2823;8;54;8;1
894;Paris Austerlitz;Agriculteur, Exploitant agricole;2;17/82/2823;8;58;8;5
1826;Paris Gare de Lyon;Agriculteur, Exploitant agricole;2;24/82/2823;8;48;8;52
1112;Paris St Lazare;Agriculteur, Exploitant agricole;2;11/83/2823;8;58;8;6
1125;Paris St Lazare;Agriculteur, Exploitant agricole;2;83/82/2823;8;18;8;5
1218;Reims;Agriculteur, Exploitant agricole;4;19/83/2823;8;86;8;8
1238;Reims;Agriculteur, Exploitant agricole;4;89/83/2823;8;54;8;9
1293;Rennes;Agriculteur, Exploitant agricole;1;82/82/2823;8;288;8;35
1385;Rennes;Agriculteur, Exploitant agricole;1;14/82/2823;8;841;8;5
1317;Rennes;Agriculteur, Exploitant agricole;1;26/82/2823;8;64;8;1
1329;Rennes;Agriculteur, Exploitant agricole;1;18/83/2823;8;251;8;8
1341;Rennes;Agriculteur, Exploitant agricole;1;22/83/2823;8;82;8;6
1353;Rennes;Agriculteur, Exploitant agricole;1;12/83/2823;8;58;8;8
1361;Roissy;Agriculteur, Exploitant agricole;8;28/83/2823;8;288;8;5
1374;Roissy;Agriculteur, Exploitant agricole;8;12/82/2823;8;25;8;7
1759;Tours;Agriculteur, Exploitant agricole;2;89/83/2823;8;18;8;12
1783;Tours;Agriculteur, Exploitant agricole;2;12/82/2823;8;98;8;6
1831;Troyes;Agriculteur, Exploitant agricole;2;18/83/2823;8;92;8;6
1855;Troyes;Agriculteur, Exploitant agricole;2;13/82/2823;8;58;8;8
1879;Troyes;Agriculteur, Exploitant agricole;2;89/83/2823;8;36;8;8
31;Amiens;Artisan, Commercant, Chef d'entreprise TPE;8;83/83/2823;8;24;8;2
47;Angers;Artisan, Commercant, Chef d'entreprise TPE;9;19/83/2823;8;288;8;8
182;Arles;Artisan, Commercant, Chef d'entreprise TPE;2;84/82/2823;8;135;8;8
113;Arles;Artisan, Commercant, Chef d'entreprise TPE;2;15/82/2823;8;288;8;8
119;Avignon;Artisan, Commercant, Chef d'entreprise TPE;2;21/82/2823;8;24;8;8
176;Belfort ;Artisan, Commercant, Chef d'entreprise TPE;3;81/83/2823;8;25;8;2
189;Besancon;Artisan, Commercant, Chef d'entreprise TPE;2;14/83/2823;8;135;8;1
281;Besancon;Artisan, Commercant, Chef d'entreprise TPE;2;85/82/2823;8;185;8;6
222;Biarritz;Artisan, Commercant, Chef d'entreprise TPE;4;26/82/2823;8;288;8;2
282;Cannes;Artisan, Commercant, Chef d'entreprise TPE;2;89/83/2823;8;58;8;7
311;Cherbourg;Artisan, Commercant, Chef d'entreprise TPE;2;17/82/2823;8;64;8;8
329;Colmar;Artisan, Commercant, Chef d'entreprise TPE;2;87/83/2823;8;25;8;8
359;Dijon;Artisan, Commercant, Chef d'entreprise TPE;2;16/82/2823;8;24;8;35
391;Grenoble;Artisan, Commercant, Chef d'entreprise TPE;2;28/83/2823;8;58;8;8
393;Hendaye;Artisan, Commercant, Chef d'entreprise TPE;2;81/82/2823;8;36;8;2
416;Laval;Artisan, Commercant, Chef d'entreprise TPE;1;24/82/2823;8;41;8;2
438;Le Mans;Artisan, Commercant, Chef d'entreprise TPE;2;18/83/2823;8;41;8;8
458;Le Mans;Artisan, Commercant, Chef d'entreprise TPE;2;89/82/2823;8;543;8;5
473;Lens;Artisan, Commercant, Chef d'entreprise TPE;2;84/83/2823;8;135;8;5
551;Lorient;Artisan, Commercant, Chef d'entreprise TPE;1;12/82/2823;8;185;8;8
561;Lyon;Artisan, Commercant, Chef d'entreprise TPE;2;22/82/2823;8;135;8;8
642;Massy;Artisan, Commercant, Chef d'entreprise TPE;4;85/82/2823;8;23;8;8
681;Metz;Artisan, Commercant, Chef d'entreprise TPE;1;16/83/2823;8;288;8;5
783;Montpellier Saint-Roch;Artisan, Commercant, Chef d'entreprise TPE;2;17/82/2823;8;288;8;7
752;Nancy;Artisan, Commercant, Chef d'entreprise TPE;1;16/83/2823;8;52;8;8
762;Nancy;Artisan, Commercant, Chef d'entreprise TPE;1;85/82/2823;8;25;8;8
767;Nantes;Artisan, Commercant, Chef d'entreprise TPE;2;18/82/2823;8;68;8;8
799;Nice;Artisan, Commercant, Chef d'entreprise TPE;1;14/83/2823;8;98;8;3
823;Nice;Artisan, Commercant, Chef d'entreprise TPE;1;17/82/2823;8;135;8;8
839;Nimes;Artisan, Commercant, Chef d'entreprise TPE;4;85/83/2823;8;23;8;6
861;Paris;Artisan, Commercant, Chef d'entreprise TPE;2;27/83/2823;8;23;8;5
873;Paris;Artisan, Commercant, Chef d'entreprise TPE;2;17/83/2823;8;48;8;1
985;Paris Austerlitz;Artisan, Commercant, Chef d'entreprise TPE;2;28/82/2823;8;52;8;35
991;Paris Gare de Lyon;Artisan, Commercant, Chef d'entreprise TPE;2;18/83/2823;8;82;8;8
1817;Paris Gare de Lyon;Artisan, Commercant, Chef d'entreprise TPE;2;15/82/2823;8;25;8;8
1873;Paris Nord;Artisan, Commercant, Chef d'entreprise TPE;4;22/82/2823;8;68;8;8
1886;Paris Nord;Artisan, Commercant, Chef d'entreprise TPE;4;87/83/2823;8;841;8;8
1127;Paris St Lazare;Artisan, Commercant, Chef d'entreprise TPE;2;85/82/2823;8;98;8;8
1168;Perpignan;Artisan, Commercant, Chef d'entreprise TPE;2;18/83/2823;8;25;8;6
1199;Poitiers;Artisan, Commercant, Chef d'entreprise TPE;2;28/82/2823;8;254;8;8
1298;Rennes;Artisan, Commercant, Chef d'entreprise TPE;4;28/83/2823;8;41;8;8
1382;Rennes;Artisan, Commercant, Chef d'entreprise TPE;4;11/82/2823;8;98;8;8
1314;Rennes;Artisan, Commercant, Chef d'entreprise TPE;4;23/82/2823;8;68;8;8
1326;Rennes;Artisan, Commercant, Chef d'entreprise TPE;4;87/83/2823;8;135;8;8
1338;Rennes;Artisan, Commercant, Chef d'entreprise TPE;4;19/83/2823;8;185;8;5
1358;Rennes;Artisan, Commercant, Chef d'entreprise TPE;4;89/83/2823;8;541;8;1
1415;Rouen Rive Droite;Artisan, Commercant, Chef d'entreprise TPE;2;84/82/2823;8;541;8;8
1437;Rouen Rive Droite;Artisan, Commercant, Chef d'entreprise TPE;2;26/82/2823;8;541;8;3
1448;Rouen Rive Droite;Artisan, Commercant, Chef d'entreprise TPE;2;89/83/2823;8;64;8;8
1485;Strasbourg;Artisan, Commercant, Chef d'entreprise TPE;2;83/82/2823;8;48;8;2
1589;Strasbourg;Artisan, Commercant, Chef d'entreprise TPE;2;27/82/2823;8;41;8;5
1533;Strasbourg;Artisan, Commercant, Chef d'entreprise TPE;2;82/82/2823;8;288;8;6
1557;Strasbourg;Artisan, Commercant, Chef d'entreprise TPE;2;26/82/2823;8;64;8;2
1581;Strasbourg;Artisan, Commercant, Chef d'entreprise TPE;2;22/83/2823;8;82;8;6
1685;Strasbourg;Artisan, Commercant, Chef d'entreprise TPE;2;83/82/2823;8;24;8;1
1615;Toulon;Artisan, Commercant, Chef d'entreprise TPE;2;13/82/2823;8;58;8;5
1626;Toulon;Artisan, Commercant, Chef d'entreprise TPE;2;24/82/2823;8;23;8;8
1687;Toulouse Matabiau;Artisan, Commercant, Chef d'entreprise TPE;2;88/83/2823;8;185;8;3
1711;Toulouse Matabiau;Artisan, Commercant, Chef d'entreprise TPE;2;18/83/2823;8;54;8;8
1735;Toulouse Matabiau;Artisan, Commercant, Chef d'entreprise TPE;2;13/82/2823;8;23;8;8
1793;Tours;Artisan, Commercant, Chef d'entreprise TPE;1;22/82/2823;8;41;8;35
1817;Tours;Artisan, Commercant, Chef d'entreprise TPE;1;18/83/2823;8;85;8;1
1985;Valence;Artisan, Commercant, Chef d'entreprise TPE;1;14/82/2823;8;288;8;8
1927;Valence;Artisan, Commercant, Chef d'entreprise TPE;1;88/83/2823;8;288;8;8
1938;Valence;Artisan, Commercant, Chef d'entreprise TPE;1;19/83/2823;8;135;8;8
1965;Versailles;Artisan, Commercant, Chef d'entreprise TPE;2;83/82/2823;8;58;8;1
1977;Versailles;Artisan, Commercant, Chef d'entreprise TPE;2;15/82/2823;8;51;8;6
1984;Versailles;Artisan, Commercant, Chef d'entreprise TPE;2;15/82/2823;8;51;8;6
1991;Versailles;Artisan, Commercant, Chef d'entreprise TPE;2;15/82/2823;8;51;8;6
38;Amiens;Autre;7;82/83/2823;8;23;8;6
42;Amiens;Autre;7;14/83/2823;8;48;8;7
162;Belfort ;Autre;2;15/82/2823;8;24;8;8
174;Belfort ;Autre;2;27/82/2823;8;36;8;8
186;Besancon;Autre;2;11/83/2823;8;25;8;8
198;Besancon;Autre;2;82/82/2823;8;25;8;8
281;Cannes;Autre;1;88/83/2823;8;254;8;1
386;Cherbourg;Autre;1;12/82/2823;8;51;8;8
318;Cherbourg;Autre;1;24/82/2823;8;98;8;8
545;Lorient;Autre;2;86/82/2823;8;48;8;6
582;Marseille;Autre;2;15/83/2823;8;258;8;52
594;Marseille;Autre;2;86/82/2823;8;49;8;8
686;Marseille Saint-Charles;Autre;1;18/82/2823;8;86;8;8
618;Marseille Saint-Charles;Autre;1;82/83/2823;8;54;8;8
765;Nantes;Autre;2;88/82/2823;8;51;8;8
933;Paris Bercy;Autre;1;87/82/2823;8;841;8;8
944;Paris Bercy;Autre;1;18/82/2823;8;185;8;1
968;Paris Est;Autre;2;14/83/2823;8;54;8;8
981;Paris Est;Autre;2;27/83/2823;8;58;8;8
1829;Paris Montparnasse;Autre;4;27/82/2823;8;25;8;1
1855;Paris Montparnasse;Autre;4;84/82/2823;8;288;8;7
1121;Paris St Lazare;Autre;4;28/83/2823;8;54;8;12
1134;Paris St Lazare;Autre;4;12/82/2823;8;58;8;5
1185;Poitiers;Autre;4;14/82/2823;8;185;8;8
1197;Poitiers;Autre;4;26/82/2823;8;541;8;3
1289;Poitiers;Autre;4;18/83/2823;8;452;8;8
1256;Reims;Autre;2;14/82/2823;8;18;8;8
1278;Reims;Autre;2;88/83/2823;8;18;8;8
1289;Rennes;Autre;2;19/83/2823;8;36;8;3
1313;Rennes;Autre;2;22/82/2823;8;25;8;8
1337;Rennes;Autre;2;18/83/2823;8;288;8;2
1399;Rouen;Autre;2;89/83/2823;8;41;8;8
1439;Rouen Rive Droite;Autre;2;28/82/2823;8;254;8;8
1461;Rouen Rive Droite;Autre;2;22/83/2823;8;254;8;8
1688;Toulouse Matabiau;Autre;2;89/83/2823;8;64;8;8
1712;Toulouse Matabiau;Autre;2;11/83/2823;8;82;8;8
1736;Toulouse Matabiau;Autre;2;14/82/2823;8;24;8;12
1761;Tours;Autre;2;11/83/2823;8;98;8;1
1773;Tours;Autre;2;82/82/2823;8;68;8;8
1785;Tours;Autre;2;14/82/2823;8;135;8;6
1832;Troyes;Autre;2;11/83/2823;8;1562;8;1
1856;Troyes;Autre;2;14/82/2823;8;48;8;8
1888;Troyes;Autre;2;18/83/2823;8;41;8;8
81;Angouleme;Cadre, Chef d'entreprise ;1;84/83/2823;8;841;8;8
138;Bayonne;Cadre, Chef d'entreprise ;3;12/83/2823;8;452;8;52
199;Besancon;Cadre, Chef d'entreprise ;2;83/82/2823;8;68;8;2
289;Biarritz;Cadre, Chef d'entreprise ;1;13/82/2823;8;98;8;8
366;Dijon;Cadre, Chef d'entreprise ;2;23/82/2823;8;541;8;8
415;Laval;Cadre, Chef d'entreprise ;2;23/82/2823;8;36;8;8
585;Marseille;Cadre, Chef d'entreprise ;2;18/83/2823;8;541;8;1
597;Marseille;Cadre, Chef d'entreprise ;2;89/82/2823;8;452;8;2
617;Marseille Saint-Charles;Cadre, Chef d'entreprise ;2;81/83/2823;8;64;8;8
647;Massy;Cadre, Chef d'entreprise ;2;18/82/2823;8;258;8;6
671;Metz;Cadre, Chef d'entreprise ;2;86/83/2823;8;841;8;8
729;Mulhouse;Cadre, Chef d'entreprise ;1;15/83/2823;8;82;8;8
786;Nantes;Cadre, Chef d'entreprise ;2;81/83/2823;8;36;8;9
847;Nimes;Cadre, Chef d'entreprise ;2;13/83/2823;8;541;8;8
887;Paris Austerlitz;Cadre, Chef d'entreprise ;1;18/82/2823;8;98;8;8
935;Paris Bercy;Cadre, Chef d'entreprise ;2;89/82/2823;8;251;8;8
1849;Paris Montparnasse;Cadre, Chef d'entreprise ;1;19/83/2823;8;36;8;3
1862;Paris Montparnasse;Cadre, Chef d'entreprise ;1;11/82/2823;8;543;8;8
1113;Paris St Lazare;Cadre, Chef d'entreprise ;2;12/83/2823;8;48;8;2
81;Perpignan;Cadre, Chef d'entreprise ;2;81/83/2823;8;135;8;9
1175;Perpignan;Cadre, Chef d'entreprise ;2;84/82/2823;8;541;8;68
1254;Reims;Cadre, Chef d'entreprise ;2;12/82/2823;8;23;8;8
1266;Reims;Cadre, Chef d'entreprise ;2;24/82/2823;8;48;8;3
1384;Rennes;Cadre, Chef d'entreprise ;2;13/82/2823;8;135;8;2
1328;Rennes;Cadre, Chef d'entreprise ;2;89/83/2823;8;541;8;8
1352;Rennes;Cadre, Chef d'entreprise ;2;11/83/2823;8;254;8;5
1376;Roissy;Cadre, Chef d'entreprise ;1;14/82/2823;8;156;8;8
1413;Rouen Rive Droite;Cadre, Chef d'entreprise ;2;82/82/2823;8;135;8;8
1424;Rouen Rive Droite;Cadre, Chef d'entreprise ;2;13/82/2823;8;288;8;9
1446;Rouen Rive Droite;Cadre, Chef d'entreprise ;2;87/83/2823;8;288;8;8
1457;Rouen Rive Droite;Cadre, Chef d'entreprise ;2;18/83/2823;8;135;8;1
1473;Strasbourg;Cadre, Chef d'entreprise ;2;12/83/2823;8;23;8;1
1497;Strasbourg;Cadre, Chef d'entreprise ;2;15/82/2823;8;18;8;35
1521;Strasbourg;Cadre, Chef d'entreprise ;2;11/83/2823;8;543;8;1
1545;Strasbourg;Cadre, Chef d'entreprise ;2;14/82/2823;8;841;8;7
1569;Strasbourg;Cadre, Chef d'entreprise ;2;18/83/2823;8;251;8;5
1593;Strasbourg;Cadre, Chef d'entreprise ;2;12/83/2823;8;58;8;8
1631;Toulon;Cadre, Chef d'entreprise ;2;81/83/2823;8;258;8;8
1653;Toulon;Cadre, Chef d'entreprise ;2;82/82/2823;8;258;8;8
1664;Toulon;Cadre, Chef d'entreprise ;2;13/82/2823;8;85;8;3
1689;Toulouse Matabiau;Cadre, Chef d'entreprise ;1;18/83/2823;8;54;8;8
1781;Toulouse Matabiau;Cadre, Chef d'entreprise ;1;22/83/2823;8;254;8;8
1713;Toulouse Matabiau;Cadre, Chef d'entreprise ;1;12/83/2823;8;23;8;12
1725;Toulouse Matabiau;Cadre, Chef d'entreprise ;1;83/82/2823;8;48;8;2
1737;Toulouse Matabiau;Cadre, Chef d'entreprise ;1;15/82/2823;8;18;8;35
1749;Toulouse Matabiau;Cadre, Chef d'entreprise ;1;27/82/2823;8;41;8;5
1953;Valence;Cadre, Chef d'entreprise ;2;12/83/2823;8;82;8;5
41;Amiens;Enseignant, Professeur;6;13/83/2823;8;58;8;1
183;Arles;Enseignant, Professeur;2;85/82/2823;8;841;8;8
114;Arles;Enseignant, Professeur;2;16/82/2823;8;185;8;8
129;Avignon;Enseignant, Professeur;2;83/83/2823;8;58;8;8
141;Bayonne;Enseignant, Professeur;1;15/83/2823;8;51;8;1
152;Bayonne;Enseignant, Professeur;1;85/82/2823;8;156;8;8
247;Bordeaux;Enseignant, Professeur;2;82/82/2823;8;54;8;6
294;Cannes;Enseignant, Professeur;4;21/83/2823;8;51;8;8
333;Colmar;Enseignant, Professeur;4;11/83/2823;8;64;8;8
345;Colmar;Enseignant, Professeur;4;82/82/2823;8;251;8;8
479;Lens;Enseignant, Professeur;1;18/83/2823;8;48;8;8
534;Lorient;Enseignant, Professeur;1;16/83/2823;8;24;8;8
546;Lorient;Enseignant, Professeur;1;87/82/2823;8;36;8;8
558;Lyon;Enseignant, Professeur;1;19/82/2823;8;25;8;8
569;Lyon;Enseignant, Professeur;1;82/83/2823;8;41;8;1
631;Massy;Enseignant, Professeur;2;15/83/2823;8;58;8;12
698;Metz;Enseignant, Professeur;1;84/82/2823;8;98;8;5
775;Nantes;Enseignant, Professeur;1;18/82/2823;8;18;8;8
872;Paris;Enseignant, Professeur;4;16/83/2823;8;58;8;35
896;Paris Austerlitz;Enseignant, Professeur;2;19/82/2823;8;36;8;2
989;Paris Austerlitz;Enseignant, Professeur;2;84/83/2823;8;543;8;8
921;Paris Bercy;Enseignant, Professeur;2;16/83/2823;8;288;8;8
943;Paris Bercy;Enseignant, Professeur;2;17/82/2823;8;288;8;6
953;Paris Est;Enseignant, Professeur;1;27/82/2823;8;258;8;7
966;Paris Est;Enseignant, Professeur;1;12/83/2823;8;185;8;6
998;Paris Gare de Lyon;Enseignant, Professeur;2;89/83/2823;8;54;8;8
1816;Paris Gare de Lyon;Enseignant, Professeur;2;14/82/2823;8;18;8;3
1858;Paris Montparnasse;Enseignant, Professeur;2;28/83/2823;8;41;8;8
1863;Paris Montparnasse;Enseignant, Professeur;2;12/82/2823;8;12;8;8
1877;Paris Nord;Enseignant, Professeur;2;26/82/2823;8;54;8;1
1183;Paris Nord;Enseignant, Professeur;2;24/83/2823;8;18;8;8
1149;Perpignan;Enseignant, Professeur;2;27/82/2823;8;98;8;8
1161;Perpignan;Enseignant, Professeur;2;11/83/2823;8;68;8;1
1173;Perpignan;Enseignant, Professeur;2;82/82/2823;8;135;8;8
1183;Poitiers;Enseignant, Professeur;1;12/82/2823;8;68;8;8
1287;Poitiers;Enseignant, Professeur;1;88/83/2823;8;584;8;9
1288;Reims;Enseignant, Professeur;2;18/83/2823;8;98;8;8
1362;Roissy;Enseignant, Professeur;1;21/83/2823;8;452;8;6
1375;Roissy;Enseignant, Professeur;1;13/82/2823;8;65;8;5
1389;Rouen;Enseignant, Professeur;1;27/82/2823;8;98;8;5
1488;Rouen;Enseignant, Professeur;1;18/83/2823;8;25;8;8
1463;Rouen Rive Droite;Enseignant, Professeur;2;24/83/2823;8;48;8;12
1478;Strasbourg;Enseignant, Professeur;2;89/83/2823;8;64;8;52
1487;Strasbourg;Enseignant, Professeur;1;85/82/2823;8;41;8;6
1494;Strasbourg;Enseignant, Professeur;2;12/82/2823;8;82;8;8
1511;Strasbourg;Enseignant, Professeur;1;81/83/2823;8;85;8;2
1518;Strasbourg;Enseignant, Professeur;2;88/83/2823;8;51;8;8
1535;Strasbourg;Enseignant, Professeur;1;84/82/2823;8;64;8;6
1542;Strasbourg;Enseignant, Professeur;2;11/82/2823;8;98;8;12
1559;Strasbourg;Enseignant, Professeur;1;28/82/2823;8;82;8;8
1566;Strasbourg;Enseignant, Professeur;2;87/83/2823;8;135;8;35
1583;Strasbourg;Enseignant, Professeur;1;24/83/2823;8;24;8;8
1598;Strasbourg;Enseignant, Professeur;2;89/83/2823;8;541;8;1
1687;Strasbourg;Enseignant, Professeur;1;85/82/2823;8;25;8;8
1665;Toulon;Enseignant, Professeur;1;14/82/2823;8;49;8;8
1794;Tours;Enseignant, Professeur;2;23/82/2823;8;25;8;1
1886;Tours;Enseignant, Professeur;2;87/83/2823;8;258;8;6
1818;Tours;Enseignant, Professeur;2;19/83/2823;8;49;8;7
1833;Troyes;Enseignant, Professeur;2;12/83/2823;8;25;8;5
1845;Troyes;Enseignant, Professeur;2;83/82/2823;8;24;8;9
1857;Troyes;Enseignant, Professeur;2;15/82/2823;8;36;8;8
1869;Troyes;Enseignant, Professeur;2;27/82/2823;8;25;8;8
1881;Troyes;Enseignant, Professeur;2;11/83/2823;8;25;8;3
1893;Troyes;Enseignant, Professeur;2;82/82/2823;8;258;8;8
1982;Valence;Enseignant, Professeur;2;11/82/2823;8;41;8;5
1913;Valence;Enseignant, Professeur;2;22/82/2823;8;25;8;8
7;Aix en Provence-TGV;Etudiant;1;87/82/2823;8;82;8;6
18;Aix en Provence-TGV;Etudiant;1;18/82/2823;8;254;8;1
32;Amiens;Etudiant;7;84/83/2823;8;18;8;6
78;Angouleme;Etudiant;4;81/83/2823;8;98;8;6
89;Angouleme;Etudiant;4;12/83/2823;8;25;8;5
153;Bayonne;Etudiant;1;86/82/2823;8;51;8;2
218;Biarritz;Etudiant;2;14/82/2823;8;258;8;12
234;Bordeaux;Etudiant;1;18/83/2823;8;841;8;35
246;Bordeaux;Etudiant;1;81/82/2823;8;64;8;5
285;Cannes;Etudiant;2;12/83/2823;8;41;8;8
296;Cannes;Etudiant;2;82/82/2823;8;528;8;8
353;Dijon;Etudiant;2;18/82/2823;8;288;8;5
448;Le Mans;Etudiant;2;28/83/2823;8;85;8;8
465;Lens;Etudiant;2;24/82/2823;8;54;8;8
477;Lens;Etudiant;2;88/83/2823;8;254;8;8
497;Lille Europe;Etudiant;4;87/82/2823;8;541;8;6
568;Lyon;Etudiant;2;21/82/2823;8;258;8;8
633;Massy;Etudiant;2;17/83/2823;8;36;8;1
666;Metz;Etudiant;2;81/83/2823;8;18;8;2
689;Metz;Etudiant;2;83/82/2823;8;25;8;2
693;Metz;Etudiant;2;87/82/2823;8;841;8;6
834;Nimes;Etudiant;2;28/82/2823;8;288;8;8
871;Paris;Etudiant;2;15/83/2823;8;254;8;12
897;Paris Austerlitz;Etudiant;4;28/82/2823;8;41;8;6
918;Paris Bercy;Etudiant;2;13/83/2823;8;51;8;6
929;Paris Bercy;Etudiant;2;83/82/2823;8;25;8;1
969;Paris Est;Etudiant;2;15/83/2823;8;82;8;8
993;Paris Gare de Lyon;Etudiant;2;12/83/2823;8;24;8;3
1838;Paris Montparnasse;Etudiant;4;88/83/2823;8;18;8;8
1864;Paris Montparnasse;Etudiant;4;13/82/2823;8;45;8;2
1888;Paris Nord;Etudiant;2;89/83/2823;8;251;8;5
1181;Paris Nord;Etudiant;2;22/83/2823;8;23;8;7
1231;Reims;Etudiant;2;18/83/2823;8;82;8;8
1383;Rennes;Etudiant;2;12/82/2823;8;258;8;8
1327;Rennes;Etudiant;2;88/83/2823;8;841;8;23
1351;Rennes;Etudiant;2;18/83/2823;8;251;8;7
1367;Roissy;Etudiant;8;85/82/2823;8;528;8;8
1629;Toulon;Etudiant;4;27/82/2823;8;25;8;8
1648;Toulon;Etudiant;4;18/83/2823;8;41;8;8
1662;Toulon;Etudiant;4;11/82/2823;8;41;8;8
1673;Toulon;Etudiant;4;22/82/2823;8;528;8;8
1758;Tours;Etudiant;1;88/83/2823;8;24;8;8
1778;Tours;Etudiant;1;28/83/2823;8;36;8;8
1782;Tours;Etudiant;1;11/82/2823;8;25;8;5
1797;Tours;Etudiant;1;26/82/2823;8;185;8;8
1889;Tours;Etudiant;1;18/83/2823;8;541;8;8
1821;Tours;Etudiant;1;22/83/2823;8;452;8;8
1838;Troyes;Etudiant;1;89/83/2823;8;86;8;2
1842;Troyes;Etudiant;1;21/83/2823;8;54;8;5
1854;Troyes;Etudiant;1;12/82/2823;8;254;8;6
1866;Troyes;Etudiant;1;24/82/2823;8;23;8;8
1878;Troyes;Etudiant;1;88/83/2823;8;48;8;8
1898;Troyes;Etudiant;1;28/83/2823;8;18;8;8
1984;Valence;Etudiant;2;13/82/2823;8;68;8;3
1926;Valence;Etudiant;2;87/83/2823;8;68;8;8
1937;Valence;Etudiant;2;18/83/2823;8;258;8;3
1998;Versailles;Etudiant;8;21/82/2823;8;86;8;3
1999;Versailles;Etudiant;8;21/82/2823;8;86;8;3
2888;Versailles;Etudiant;8;21/82/2823;8;86;8;3
9;Aix en Provence-TGV;Militaire;3;89/82/2823;8;24;8;6
28;Aix en Provence-TGV;Militaire;3;28/82/2823;8;48;8;5
23;Amiens;Militaire;5;23/82/2823;8;25;8;9
71;Angouleme;Militaire;8;22/82/2823;8;64;8;8
95;Arles;Militaire;2;18/83/2823;8;82;8;8
158;Bayonne;Militaire;3;83/82/2823;8;25;8;8
223;Biarritz;Militaire;2;27/82/2823;8;185;8;5
248;Bordeaux;Militaire;2;83/82/2823;8;82;8;2
258;Caen;Militaire;2;13/82/2823;8;251;8;1
271;Caen;Militaire;2;26/82/2823;8;23;8;2
297;Cannes;Militaire;1;83/82/2823;8;543;8;8
343;Colmar;Militaire;1;21/83/2823;8;841;8;8
367;Dijon;Militaire;2;24/82/2823;8;251;8;8
377;Grenoble;Militaire;1;86/83/2823;8;64;8;8
441;Le Mans;Militaire;1;21/83/2823;8;49;8;8
453;Le Mans;Militaire;1;12/82/2823;8;86;8;6
487;Lille Europe;Militaire;2;18/83/2823;8;54;8;5
511;Lille Flandres;Militaire;2;21/82/2823;8;23;8;8
641;Massy;Militaire;2;84/82/2823;8;82;8;8
654;Metz;Militaire;1;17/82/2823;8;48;8;12
713;Montpellier Saint-Roch;Militaire;4;27/82/2823;8;258;8;5
727;Mulhouse;Militaire;2;13/83/2823;8;64;8;5
738;Mulhouse;Militaire;2;24/83/2823;8;541;8;8
785;Nantes;Militaire;2;28/82/2823;8;48;8;8
